Source,Target,Weight
chronic obstructive airway disease,distress respiratory,524
chronic obstructive airway disease,chest tightness,524
chronic obstructive airway disease,patient non compliance,524
chronic obstructive airway disease,hypoxemia,524
anxiety state,impaired cognition,523
degenerativeÂ polyarthritis,hyponatremia,521
bipolar disorder,hypotension,521
dementia,erythema,520
asthma,pain chest,519
exanthema,tremor resting,518
hypothyroidism,asthenia,517
dementia,shortness of breath,516
neoplasm,fever,515
chronic obstructive airway disease,sweat,514
infection urinary tract,debilitation,514
gastroesophageal reflux disease,energy increased,513
anxiety state,sore to touch,512
failure heart congestive,rigor - temperature-associated observation,511
confusion,pain abdominal,508
bipolar disorder,dyspnea on exertion,508
infection urinary tract,wheezing,507
anxiety state,fatigue,506
carcinoma,nausea,506
infection,vomiting,505
dementia,unsteady gait,504
dementia,unconscious state,504
dementia,cough,504
dementia,bedridden,504
dementia,syncope,504
dementia,rale,504
dementia,rhonchus,504
dementia,abdominal tenderness,504
insufficiency renal,chill,504
insufficiency renal,lethargy,504
dementia,fever,504
dementia,lethargy,504
dementia,hallucinations auditory,504
dementia,fall,504
dementia,ecchymosis,504
dementia,unresponsiveness,504
anxiety state,hemodynamically stable,502
deep vein thrombosis,vomiting,502
malignant neoplasms,pain,501
cellulitis,syncope,499
hiv infections,fatigue,499
chronic kidney failure,shortness of breath,499
chronic obstructive airway disease,paresis,498
primary malignant neoplasm,nightmare,498
cellulitis,orthopnea,498
confusion,,497
infection urinary tract,apyrexial,497
neoplasm,worry,497
hypothyroidism,nausea,495
systemic infection,loose associations,494
septicemia,energy increased,493
hiv infections,bradycardia,493
gastroesophageal reflux disease,fall,491
chronic kidney failure,spontaneous rupture of membranes,491
hypothyroidism,speech slurred,490
septicemia,sweating increased,487
confusion,pain,486
anemia,motor retardation,486
hypertension pulmonary,worry,486
dementia,tumor cell invasion,483
malignant neoplasms,heartburn,482
primary malignant neoplasm,hypokinesia,482
primary malignant neoplasm,sweating increased,482
anemia,non-productive cough,482
hypothyroidism,shortness of breath,481
cirrhosis,sweat,480
cardiomyopathy,blackout,479
anxiety state,stiffness,478
carcinoma,hallucinations visual,478
septicemia,worry,477
depressive disorder,sore to touch,476
hypothyroidism,weepiness,474
hypothyroidism,rhonchus,474
dehydration,pain chest,473
myocardial infarction,unconscious state,471
pneumonia,urinary hesitation,469
degenerativeÂ polyarthritis,decreased body weight,469
anemia,seizure,467
sepsis (invertebrate),seizure,466
deep vein thrombosis,hallucinations auditory,464
paranoia,hallucinations auditory,463
anemia,irritable mood,462
asthma,diarrhea,461
primary malignant neoplasm,sweat,461
hiv infections,apyrexial,460
malignant neoplasms,thicken,460
hypercholesterolemia,emphysematous change,456
sepsis (invertebrate),drowsiness,456
bipolar disorder,orthopnea,455
dementia,headache,455
systemic infection,satiety early,455
neoplasm,weepiness,454
HIV,diarrhea,454
dehydration,paraparesis,454
acquiredÂ immuno-deficiency syndrome,asthenia,454
insufficiency renal,tired,454
chronic kidney failure,hematochezia,451
degenerativeÂ polyarthritis,chest discomfort,451
acquiredÂ immuno-deficiency syndrome,muscle hypotonia,451
neoplasm,haemorrhage,450
anxiety state,facial paresis,450
chronic kidney failure,passed stones,449
mitral valve insufficiency,hunger,449
adenocarcinoma,fever,448
primary malignant neoplasm,apyrexial,447
sepsis (invertebrate),fever,447
cardiomyopathy,poor feeding,447
neoplasm,bedridden,447
HIV,shortness of breath,447
chronic kidney failure,asthenia,447
insufficiency renal,rale,445
insufficiency renal,asthenia,445
insufficiency renal,orthopnea,445
insufficiency renal,dyspnea,445
insufficiency renal,ascites,445
insufficiency renal,mental status changes,445
insufficiency renal,hypotension,445
insufficiency renal,apyrexial,445
insufficiency renal,difficulty,445
dementia,lesion,445
insufficiency renal,hypokinesia,445
insufficiency renal,breath sounds decreased,445
insufficiency renal,swelling,445
insufficiency renal,urgency ofÂ micturition,445
insufficiency renal,guaiac positive,445
anxiety state,breech presentation,444
septicemia,facial paresis,442
depressive disorder,systolic ejection murmur,442
malignant neoplasms,myoclonus,442
carcinoma,vomiting,437
hiv infections,agitation,437
cardiomyopathy,pruritus,436
deep vein thrombosis,palpitation,435
HIV,cachexia,435
hypothyroidism,mood depressed,435
primary malignant neoplasm,hemiplegia,434
transient ischemic attack,nausea,434
ischemia,blackout,434
hypothyroidism,apyrexial,434
carcinoma,irritable mood,434
chronic kidney failure,hypocalcemia result,434
bipolar disorder,mood depressed,433
cellulitis,verbally abusive behavior,433
incontinence,night sweat,432
gastroesophageal reflux disease,pain abdominal,432
HIV,nausea,432
sepsis (invertebrate),pain,432
cellulitis,vomiting,431
adenocarcinoma,fatigue,431
psychotic disorder,pain,430
chronic kidney failure,cough,429
cellulitis,pain chest,427
anxiety state,diarrhea,426
systemic infection,shortness of breath,425
septicemia,hypoxemia,423
gastroesophageal reflux disease,unable to concentrate,423
deep vein thrombosis,night sweat,423
degenerativeÂ polyarthritis,hallucinations auditory,423
primary malignant neoplasm,dyspnea,423
hyperlipidemia,productive cough,422
anxiety state,chill,422
dehydration,drowsiness,422
cardiomyopathy,fever,421
anemia,stool color yellow,421
confusion,night sweat,420
confusion,homelessness,419
gastroesophageal reflux disease,loose associations,419
acquiredÂ immuno-deficiency syndrome,night sweat,419
embolism pulmonary,vomiting,418
malignant neoplasms,vomiting,418
gastroesophageal reflux disease,bradycardia,418
HIV,tumor cell invasion,417
insufficiency renal,lightheadedness,417
ischemia,fever,417
obesity,pain,417
hepatitis C,stiffness,416
neoplasm,snore,415
embolism pulmonary,pain abdominal,415
anxiety state,apyrexial,412
primary malignant neoplasm,decreased translucency,412
hyperlipidemia,hallucinations auditory,411
hyperlipidemia,unresponsiveness,411
paranoia,decreased body weight,409
hiv infections,blackout,409
confusion,fall,408
confusion,asthenia,408
confusion,muscle twitch,408
confusion,speech slurred,408
confusion,sleepy,408
confusion,agitation,408
confusion,unconscious state,408
confusion,enuresis,408
confusion,lethargy,408
confusion,seizure,408
confusion,dizziness,408
confusion,consciousness clear,408
confusion,mental status changes,408
confusion,tremor,408
confusion,hyponatremia,408
confusion,lightheadedness,408
confusion,dysarthria,408
confusion,headache,408
anxiety state,sweat,408
gastroesophageal reflux disease,cardiomegaly,407
acquiredÂ immuno-deficiency syndrome,numbness,407
pancreatitis,monoclonal,406
degenerativeÂ polyarthritis,general discomfort,405
degenerativeÂ polyarthritis,polydypsia,405
degenerativeÂ polyarthritis,drowsiness,405
degenerativeÂ polyarthritis,non-productive cough,405
hernia,weight gain,405
degenerativeÂ polyarthritis,unsteady gait,405
degenerativeÂ polyarthritis,asthenia,405
degenerativeÂ polyarthritis,nonsmoker,405
degenerativeÂ polyarthritis,food intolerance,405
degenerativeÂ polyarthritis,numbness of hand,405
degenerativeÂ polyarthritis,stiffness,405
degenerativeÂ polyarthritis,pain,405
cardiomyopathy,angina pectoris,405
deep vein thrombosis,productive cough,405
confusion,cough,405
hypercholesterolemia,thicken,405
anxiety state,breath sounds decreased,403
insufficiency renal,nausea,403
edema pulmonary,lesion,401
cirrhosis,mood depressed,400
sepsis (invertebrate),asthenia,399
gastroesophageal reflux disease,urge incontinence,399
hypothyroidism,fall,398
hypothyroidism,difficulty,398
hypothyroidism,unsteady gait,398
hypothyroidism,numbness,398
hypothyroidism,fatigue,398
hypothyroidism,weight gain,398
hypothyroidism,nightmare,398
hypothyroidism,hypotension,398
hypothyroidism,polyuria,398
hypothyroidism,agitation,398
hypothyroidism,tired,398
hypothyroidism,motor retardation,398
hypothyroidism,mental status changes,398
HIV,pruritus,398
hypothyroidism,mass of body structure,398
hypothyroidism,hyponatremia,398
hypothyroidism,sleepy,398
hypothyroidism,drowsiness,398
dementia,hypotension,398
hypothyroidism,vomiting,398
hypothyroidism,prostatism,398
systemic infection,abscess bacterial,397
neoplasm,shortness of breath,395
psychotic disorder,shortness of breath,395
schizophrenia,hemodynamically stable,394
dehydration,seizure,393
transient ischemic attack,chill,392
anxiety state,nausea,391
anxiety state,agitation,390
anxiety state,patient non compliance,390
anxiety state,difficulty,390
anxiety state,irritable mood,390
anxiety state,hot flush,390
anxiety state,palpitation,390
anxiety state,hallucinations auditory,390
anxiety state,mood depressed,390
anxiety state,suicidal,390
anxiety state,sleeplessness,390
anxiety state,feeling hopeless,390
anxiety state,feeling suicidal,390
anxiety state,tremor,390
anxiety state,pain,390
anxiety state,consciousness clear,390
anxiety state,pain chest,390
anxiety state,weepiness,390
anxiety state,worry,390
anxiety state,formication,390
anxiety state,hallucinations visual,390
anxiety state,nervousness,390
anxiety state,has religious belief,390
anxiety state,blackout,390
anxiety state,nightmare,390
cellulitis,sore to touch,389
deep vein thrombosis,sleepy,389
malignant neoplasms,tachypnea,388
psychotic disorder,diarrhea,388
degenerativeÂ polyarthritis,intoxication,388
hypothyroidism,distress respiratory,387
neoplasm,hyperacusis,386
insufficiency renal,erythema,386
gastroesophageal reflux disease,rale,385
psychotic disorder,facial paresis,385
sepsis (invertebrate),palpitation,384
anemia,hirsutism,383
bipolar disorder,oliguria,382
insufficiency renal,metastatic lesion,382
cirrhosis,achalasia,381
hernia,cough,380
gastroesophageal reflux disease,hallucinations auditory,380
hyperlipidemia,dysarthria,379
malignant neoplasm of prostate,dizziness,378
arthritis,sleepy,377
hypothyroidism,monoclonal,377
epilepsy,shortness of breath,377
anxiety state,nonsmoker,377
epilepsy,muscle twitch,377
confusion,"hypothermia, natural",376
bipolar disorder,satiety early,376
dementia,feeling hopeless,375
septicemia,vomiting,375
obesity,anorexia,374
hypothyroidism,hemiplegia,373
cardiomyopathy,asthenia,373
dehydration,hypotension,372
cardiomyopathy,bradycardia,372
dementia,jugular venous distention,371
HIV,chill,371
degenerativeÂ polyarthritis,unresponsiveness,370
gastroesophageal reflux disease,fatigue,370
sepsis (invertebrate),patient non compliance,370
septicemia,sleeplessness,370
cardiomyopathy,nausea,369
psychotic disorder,dizziness,368
anemia,hydropneumothorax,368
hepatitis C,cough,368
confusion,hypotension,368
hypothyroidism,suicidal,367
neoplasm,transaminitis,366
bipolar disorder,muscle twitch,366
malignant neoplasms,dizziness,366
ischemia,hallucinations auditory,365
arthritis,arthralgia,365
obesity,vomiting,365
psychotic disorder,pain chest,365
embolism pulmonary,metastatic lesion,365
dehydration,bedridden,364
hepatitis,feeling hopeless,363
cirrhosis,vertigo,362
systemic infection,bedridden,361
embolism pulmonary,pleuritic pain,360
carcinoma,hypercapnia,360
systemic infection,ecchymosis,359
degenerativeÂ polyarthritis,constipation,359
hypercholesterolemia,decreased translucency,358
epilepsy,unsteady gait,356
obesity,unresponsiveness,356
carcinoma prostate,vomiting,356
systemic infection,hemiplegia,355
chronic kidney failure,dyspnea on exertion,355
degenerativeÂ polyarthritis,excruciating pain,355
neoplasm,sweat,355
gastritis,irritable mood,355
malignant neoplasms,hoarseness,354
primary malignant neoplasm,emphysematous change,354
primary malignant neoplasm,cushingoid facies,354
primary malignant neoplasm,lesion,354
bipolar disorder,urinary hesitation,354
primary malignant neoplasm,cushingoidÂ habitus,354
primary malignant neoplasm,ascites,354
malignant neoplasms,ascites,354
primary malignant neoplasm,pain,354
malignant neoplasms,hematuria,354
malignant neoplasms,cushingoid facies,354
malignant neoplasms,cushingoidÂ habitus,354
primary malignant neoplasm,thicken,354
primary malignant neoplasm,hoarseness,354
primary malignant neoplasm,decreased body weight,354
psychotic disorder,bedridden,354
systemic infection,splenomegaly,354
malignant neoplasms,lesion,354
malignant neoplasms,decreased body weight,354
malignant neoplasms,emphysematous change,354
primary malignant neoplasm,mass of body structure,354
malignant neoplasms,mass of body structure,354
diverticulitis,dyspnea on exertion,352
anxiety state,Stahli's line,352
benign prostatic hypertrophy,anorexia,352
kidney failure acute,mood depressed,352
dementia,enuresis,351
ischemia,decreased translucency,351
coronary heart disease,sore to touch,351
hiv infections,decreased body weight,350
hiv infections,,350
hiv infections,cough,350
hiv infections,spontaneous rupture of membranes,350
gastroesophageal reflux disease,agitation,350
hiv infections,pleuritic pain,350
hiv infections,diarrhea,350
hiv infections,chill,350
HIV,muscle hypotonia,350
hiv infections,muscle hypotonia,350
acquiredÂ immuno-deficiency syndrome,,350
acquiredÂ immuno-deficiency syndrome,cough,350
hiv infections,productive cough,350
acquiredÂ immuno-deficiency syndrome,pleuritic pain,350
acquiredÂ immuno-deficiency syndrome,diarrhea,350
acquiredÂ immuno-deficiency syndrome,chill,350
acquiredÂ immuno-deficiency syndrome,decreased body weight,350
HIV,productive cough,350
hiv infections,fever,350
HIV,feeling suicidal,350
HIV,cough,350
hiv infections,hypotonic,350
hiv infections,feeling suicidal,350
HIV,fever,350
HIV,spontaneous rupture of membranes,350
HIV,night sweat,350
HIV,hypotonic,350
hiv infections,night sweat,350
HIV,decreased body weight,350
HIV,,350
HIV,pleuritic pain,350
acquiredÂ immuno-deficiency syndrome,patient non compliance,350
acquiredÂ immuno-deficiency syndrome,tachypnea,350
HIV,patient non compliance,350
acquiredÂ immuno-deficiency syndrome,spontaneous rupture of membranes,350
acquiredÂ immuno-deficiency syndrome,fever,350
HIV,tachypnea,350
